05 09 2023 - 22:24:26.774 [main] INFO  c.s.service.test.StudentServiceTest - Starting StudentServiceTest using Java 17.0.7 on Shrabonis-MacBook-Pro.local with PID 32535 (started by shrabonisinha in /Users/shrabonisinha/Documents/workspace-spring-tool-suite-4-4.19.1.RELEASE/SMS)
05 09 2023 - 22:24:26.776 [main] INFO  c.s.service.test.StudentServiceTest - No active profile set, falling back to 1 default profile: "default"
05 09 2023 - 22:24:26.992 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
05 09 2023 - 22:24:27.020 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 6 JPA repository interfaces.
05 09 2023 - 22:24:27.353 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
05 09 2023 - 22:24:27.367 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
05 09 2023 - 22:24:27.380 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
05 09 2023 - 22:24:27.423 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
05 09 2023 - 22:24:27.620 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
05 09 2023 - 22:24:27.631 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
05 09 2023 - 22:24:27.743 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.sms.entity.Address (class must be instantiated by Interceptor)
05 09 2023 - 22:24:27.884 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
05 09 2023 - 22:24:27.888 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
05 09 2023 - 22:24:28.133 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
05 09 2023 - 22:24:28.330 [main] INFO  c.s.service.test.StudentServiceTest - Started StudentServiceTest in 1.884 seconds (JVM running for 2.276)
05 09 2023 - 22:24:28.375 [main] INFO  com.sms.entity.Student - Student with details com.sms.entity.Student@490f2fadSaved Successfully.
05 09 2023 - 22:24:28.385 [main] INFO  com.sms.entity.Student - Student details with id null was fetched.
05 09 2023 - 22:24:28.396 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
